# t (s)	mx ()	my ()	mz ()	m_z_yrange150_ ()	I_x (A)
0	0.006859966	-5.951245e-10	-2.4008442e-09	0	-8e-06
1.0007986061003814e-11	0.0064424127	-0.00038814917	-5.356479e-05	0.00023009033	-8e-06
2.0029226750894204e-11	0.0066710003	-0.00047911744	-4.7180554e-05	0.00091453857	-8e-06
3.0021156801725265e-11	0.0070785806	-0.0008707102	-5.4115782e-05	0.0003300537	-8e-06
4.0011049181964765e-11	0.0072339657	-0.0005779668	2.8907436e-05	0.0010766601	-8e-06
5.000582907338776e-11	0.0075311875	-0.0010872032	-4.5374043e-05	-8.073731e-05	-8e-06
6.000478209440965e-11	0.0075962474	-0.0010047829	-9.045121e-05	0.0001805542	-8e-06
7.000149395500823e-11	0.0065431055	-0.00079905184	-0.00012314117	-0.00069782714	-8e-06
8.002447183041373e-11	0.0062511005	-0.00033931897	-2.8113865e-05	0.0012275879	-8e-06
9.001988892037969e-11	0.006860646	3.669085e-05	-6.6598855e-05	-0.0007212036	-8e-06
1.0001048848728422e-10	0.0074716094	-0.0002221043	-1.425959e-05	-0.00056362303	-8e-06
1.1000096703126438e-10	0.0072594755	-1.7080582e-07	-6.0092072e-05	-0.0005165161	-8e-06
1.2002597249562442e-10	0.0067457547	-0.0002589449	-0.00010152545	-0.00056297606	-8e-06
1.3001506182180597e-10	0.0071812705	-0.00064398895	-9.659198e-05	0.0003446289	-8e-06
1.4001669858483256e-10	0.007875717	-0.00034442262	-0.000101947146	-0.0002321289	-8e-06
1.5001177030861745e-10	0.008514406	-0.0002761186	-4.235112e-05	0.001598291	-8e-06
1.6000949414651618e-10	0.007829282	-0.00065611664	-0.00013530473	0.0011339722	-8e-06
1.700296771909572e-10	0.008080165	-0.0005618434	-0.00024682013	0.0005093628	-8e-06
1.8002702943955112e-10	0.0071771694	0.00012496658	-0.0002661839	0.00015928956	-8e-06
1.9001563618570385e-10	0.006790847	-0.0007562472	-0.0002143369	0.00052873534	-8e-06
2.0000272756400355e-10	0.006624341	-0.0009220831	-0.0001857492	0.00060162356	-8e-06
2.1000038448350026e-10	0.0063133934	-0.0009463082	-0.00014871056	0.00053930667	-8e-06
2.2002902720592786e-10	0.006383998	-0.00030187579	-0.00014152625	0.0009078125	-8e-06
2.3002970322291643e-10	0.0073963334	0.0009615988	-4.336299e-05	0.0004588379	-8e-06
2.4003090835862403e-10	0.007294387	0.0013473642	-0.00012890798	0.0032374389	-8e-06
2.500031932862162e-10	0.0076974067	0.0018716631	-0.00015770763	0.00055214844	-8e-06
2.6002844990916497e-10	0.008749378	0.002042722	-9.337012e-05	0.0018679444	-8e-06
2.7001674122144836e-10	0.00945146	0.002082322	-0.00012098887	-0.00021713867	-8e-06
2.800136877448953e-10	0.0086889705	0.0014080239	-0.00019377824	0.0004777832	-8e-06
2.9000786966286805e-10	0.0076641613	0.0007817645	-0.00021025683	-0.0019489013	-8e-06
3.00005535653594e-10	0.006890412	0.00043015237	-0.00013582926	0.00071340334	-8e-06
3.1000390789184905e-10	0.006315836	1.1520065e-05	-0.0001403416	-0.0025467407	-8e-06
3.200295639199758e-10	0.0058674854	-0.00028102973	-5.1124145e-05	-0.00012176514	-8e-06
3.300213900350168e-10	0.005105701	-0.00039267025	-7.100631e-05	0.0018903564	-8e-06
3.400127222657994e-10	0.005253443	-0.0007840738	-0.00010266964	0.0006619873	-8e-06
3.500021186433992e-10	0.005642455	-0.00088386476	-9.116972e-05	0.0016282836	-8e-06
3.600284332491786e-10	0.0062673497	-0.00091986416	-0.00015992828	0.00074606936	-8e-06
3.7001033147808337e-10	0.006778407	-0.0013162155	-0.00018314124	-0.00031749267	-8e-06
3.800084127059102e-10	0.007591125	-0.00061565073	-3.6867037e-05	-0.00021352539	-8e-06
